Log #,Date,Log Entry,Completion Status,Completion %
56,18-19 Sep,Registration was happening after the drop attempt,Completed,100%
57,18-19 Sep,New drops weren't showing up on the Wall right away,Completed,100%
58,18-19 Sep,Multiple photos for one item wouldn't upload,Completed,100%
59,18-19 Sep,Every drop was making people sign in again even when already logged in,Completed,100%
60,18-19 Sep,Back-button issues in a few other places,Completed,100%
61,18-19 Sep,Signup form was asking for too much,Completed,100%
62,18-19 Sep,"A claim was showing as ""claimed"" before delivery",Completed,100%
63,18-19 Sep,"""Open in App"" was forcing a Borzo app download",Completed,100%
64,18-19 Sep,Claimers were being shown a payment screen,Completed,100%
65,18-19 Sep,White-background photo cleanup wasn't applying consistently,Completed,100%
66,18-19 Sep,No way to delete a listing,Completed,100%
67,18-19 Sep,Removal reason was forced,Completed,100%
68,18-19 Sep,No way to cancel a submitted claim,Completed,100%
69,19 Sep (evening),"Liability waiver, photo-taking guide, defects picker, 1-10 condition scale",Deferred to Phase 2,0%
70,19 Sep (evening),AI that reads brand colour and fit straight off a photo,Completed,100%
71,19 Sep (evening),Request-received and item-received messages reworded to supplied copy,Completed,100%
72,19 Sep (evening),Privacy note removed from the Claim flow,Completed,100%
73,19 Sep (evening),Building autofill failing on some housing society names,Completed,100%
74,19 Sep (evening),Address suggestions from outside Mumbai cluttering the picker,Completed,100%
75,19 Sep (evening),Phone autofill not always triggering,In Progress,30%
76,19 Sep (evening),3km filter not actually narrowing results,Completed,100%
77,19 Sep (evening),Cancelled claims not returning the weekly claim count,Completed,100%
78,19 Sep (evening),Notifications sitting there after their action was already done,Completed,100%
79,19 Sep (evening),Community Map button not responding,Completed,100%
80,19 Sep (evening),Delivery/chat screen showing every item instead of just the claimed one,In Progress,20%
81,20 Sep,Locality now shows real neighbourhood names instead of zone numbers,Completed,100%
82,20 Sep,Women/Men/Girls/Boys filter restored on the Wall of Kindness,Completed,100%
83,20 Sep,Time Saved removed from the dashboard,Completed,100%
84,20 Sep,Photo-analysis AI speed,Completed,100%
85,20 Sep,Multi-item drops only carrying description to item 1,Completed,100%
86,20 Sep,Editing a listing after submission,Completed,100%
87,21 Sep,"Wall of Kindness header trimmed, ""verified community partners"" line removed",Completed,100%
88,21 Sep,"""Curated pre-loved items"" changed to ""Preloved pieces""",Completed,100%
89,21 Sep,"Claim-pending copy changed to ""Waiting for the giver to respond...""",Completed,100%
90,21 Sep,Footer collapsed into three groups: Explore / About / Policies,Completed,100%
91,21 Sep,"""Track Donation"" renamed to ""Track a Request""",Completed,100%
92,21 Sep,"Top tagline shortened to ""Preloved pieces. Always free.""",Completed,100%
93,21 Sep (evening),Photo analysis reordered so catalog info fills first then background cleanup,Completed,100%
94,21 Sep (evening),Multiple Items rebuilt: select Item 1 add photos then Item 2 and so on,Completed,100%
95,21 Sep (evening),Description is genuinely optional now with friendly default line,Completed,100%
96,21 Sep (evening),Neighbourhood names shown everywhere no more zone numbers,Completed,100%
97,21 Sep (evening),Address search tightened to Mumbai only,Completed,100%
98,21 Sep (evening),Footer and Wall copy matched exactly to supplied wording,Completed,100%
99,21 Sep (evening),Notification wording locked to exact supplied copy,Completed,100%
100,21 Sep (evening),"""Personal driver will deliver"" label removed",Completed,100%
101,21 Sep (evening),"""Chat with Reloved"" added on every claim plus new admin monitoring view",Completed,100%
102,21 Sep (evening),Wall cards stopped jiggling on hover consistent height,Completed,100%
103,Open,Delivery & Chat showing only the item you're actually coordinating not everything,In Progress,20%
104,Open,Phone autofill not always triggering on signup,In Progress,30%
105,Phase 2,Fully automated call masking through Edesy,Deferred to Phase 2,0%
106,Phase 2,Deeper courier integration so bookings and status updates happen without leaving RELOVED,Deferred to Phase 2,0%
107,Phase 2,"Structured defects picker, 1-10 condition scale, liability-waiver copy",Deferred to Phase 2,0%
108,Phase 2,Short in-app guide for taking better item photos,Deferred to Phase 2,0%
109,Phase 2,Letting a claimer see a donor's other active listings,Deferred to Phase 2,0%
110,Phase 2,Own branded SMS sender ID (4 of 10 templates approved rest pending),In Progress,40%
111,22 Sep,Full site QA pass: privacy/data leak check across all live listings,Completed,100%
112,22 Sep,Full site QA pass: login/OTP/account-page security and validation check,Completed,100%
113,22 Sep (evening),Fixed cross-browser logout bug (session not clearing reliably in every browser),Completed,100%
114,22 Sep (evening),Fixed claim deep-links occasionally opening the wrong gift,Completed,100%
115,22 Sep (evening),Cleared out last leftover references to the old Time Saved stat,Completed,100%
116,23 Sep (UX & Platform),Post-Transaction Success Popup after both sides complete handover; optional received photo/share,Completed,100%
117,24 Sep,"Trimmed notification noise: removed ops SMS ping and mid-delivery rider email/SMS, kept the essentials",Completed,100%
118,24 Sep,"Google login on mobile: logo restored, button label shortened to fit",Completed,100%
119,24 Sep,Claim Request Sent popup no longer overflows on narrow phones,Completed,100%
120,24 Sep,"Schedule/share-availability button: shorter mobile label, stays inside panel",Completed,100%
121,24 Sep,Giving history: Edit hides once matched/claimed/handed over; list shows only open gifts,Completed,100%
122,24 Sep,Wall status stays in sync through full lifecycle (Being Matched to Claimed to Reloved),Completed,100%
123,24 Sep,Drops with no photos are now rejected instead of going invisible on the Wall,Completed,100%
124,24 Sep,"Profile notifications collapse to one card per claim/thread, shows latest stage",Completed,100%
125,24 Sep,"Shadowfax/Shiprocket courier integration code in place, on hold for their payment-flow response",Deferred to Phase 2,0%
126,25 Sep,"Instagram handoff: default browser on Android, Safari on iOS; one leave-app prompt; GO BACK restores site",Completed,100%
127,25 Sep,"Accept/Decline shows claimer username/name and landmark (existing pending claims included)",Completed,100%
128,25 Sep,Drop/Dropper wording rolled through admin and public UI,Completed,100%
129,25 Sep,SEO/site meta updated for live Reloved indexing,Completed,100%
130,25 Sep,Login tip for Instagram WebView Google sign-in without forced page redirect banner,Completed,100%
