Task ID,Priority,Category,Task,Description / Acceptance Criteria,Status,Owner,Target Day,Phase,Source,Exact change (what shipped)
P0-27,P0,Onboarding & Listing,Photo viewing/swiping on item details,Claimer/giver can view and swipe item photos on detail page,Done (code),Aniket,17 Sep (Thu),Friday Must-Ship,CEO 17 Sep Meeting,ItemDetail + ClaimDetail touch swipe + arrows; proof in ceo-friday-fixes.webm
P0-28,P0,Admin & Seeded Inventory,Seeded items have valid owner/admin relationship,Every seeded item has a clear owner/admin destination for claims,Done (code),,17 Sep (Thu),Friday Must-Ship,Client 15 Sep Meeting,seed wall assigns SEED_DONOR_TARGET / admin-seed owner
P0-29,P0,Admin & Seeded Inventory,Admin approve/reject flow to user,Admin QC approval/rejection reaches users correctly,Done (existing),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Admin donations approve/reject + email
P0-30,P0,Admin & Seeded Inventory,No stuck seeded items without owner,No seeded item left without request destination / owner routing,Done (code),,17 Sep (Thu),Friday Must-Ship,Client 15 Sep Meeting,Seed payload includes donorTarget
P0-31,P0,Admin & Seeded Inventory,Admin UI Reloved branding,Admin colours/UI aligned with agreed Reloved branding,Partial,,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Accent colours aligned; full admin restyle not required for F&F
P0-32,P0,Support Chat,Preset Reloved support questions,Launch support chat with preset Qs (order status delivery contact Reloved) — not open-ended AI bot,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,FloatingHelpButton presets only
P0-33,P0,Support Chat,Human escalation via email,Unanswered/escalated questions reach admin/team by email,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Escalate → contact/admin email path
P0-34,P0,Call Masking,Verify masked-call E2E,Reloved number shown instead of personal number; both sides connect successfully,Partial / live test pending,,17 Sep (Thu),Friday Must-Ship,Client 15 Sep Meeting,API + admin UI exist; needs live Edesy wallet/number call test
P0-35,P0,Upload Stability,Fix image upload quota/rate-limit,Resolve current upload quota/rate-limit failures,Done (code),,16 Sep (Wed),Friday Must-Ship,Client 15 Sep Meeting,Multipart file limits raised; Gemini Storage init fixed
P0-36,P0,Upload Stability,Test multi / simultaneous uploads,Multiple and simultaneous uploads succeed without failure,QA pending,,17 Sep (Thu),Friday Must-Ship,Client 15 Sep Meeting,Limits support up to 12 analyze / multi photos — stress on mobile Thu
P0-37,P0,Upload Stability,Background image processing reliability,Background processing does not fail; verify on mobile specifically,Done (API) / mobile QA pending,,17 Sep (Thu),Friday Must-Ship,Client 15 Sep Meeting,Live Gemini analyze-photos verified 200 + autofill on Give
UX-01,P1,UX Polish,Update card statuses to Available / Being Matched / Reloved,Replace leftover status presentation with agreed labels,Done (code),,17 Sep (Thu),UX Before F&F,Client 15 Sep Meeting,WallOfKindnessCard status stamps
UX-02,P1,UX Polish,Remove repetitive For You presentation,Remove For You where statuses should appear instead,Done then restored as corner tag,,16 Sep (Wed),UX Before F&F,Client 15 Sep Meeting,For You only as top-left tag when preference matches (not instead of status)
UX-03,P1,UX Polish,Apply logo colours consistently,Including chat button and key UI accents,Done (code),,16 Sep (Wed),UX Before F&F,Client 15 Sep Meeting,Pink/green/red Reloved accents on stamps + help
UX-04,P1,UX Polish,Review all decline/rejection copy,Soft tone across UI surfaces,Done (code),,16 Sep (Wed),UX Before F&F,Client 15 Sep Meeting,Soft decline UI + emails
UX-05,P1,UX Polish,Verify email copy matches UI state,Email wording aligns with in-app status/messaging,QA pending,,17 Sep (Thu),UX Before F&F,Client 15 Sep Meeting,Templates updated in code — confirm in Brevo inbox Thu
UX-06,P1,UX Polish,Verify mobile and desktop flows,Both viewports usable for giver and claimer journeys,QA pending,,17 Sep (Thu),UX Before F&F,Client 15 Sep Meeting,Desktop recorded; mobile stress still open
UX-07,P1,UX Polish,Verify weekly 3-item claim limit for pilot,Pilot claim limit of 3 items/week enforced and communicated,Done (code),Aniket,17 Sep (Thu),UX Before F&F,CEO 17 Sep Meeting,Renamed monthly* → weekly* in account/item UI; copy says this week everywhere for donor claims
CEO-01,P0,Home & Account Metrics,Time saved metric accuracy,Time saved aligned to real user activity (not vanity estimate),Done (code),Aniket,17 Sep (Thu),Friday Fix Boundary,CEO 17 Sep Meeting,45 min × Reloved count on Account + Home manifesto
CEO-02,P0,Home & Account Metrics,Fire emoji streak indicator,Streak statistic uses fire emoji,Done (code),Aniket,17 Sep (Thu),Friday Fix Boundary,CEO 17 Sep Meeting,🔥 consecutive active days on Account + Home
CEO-03,P0,Home & Account Metrics,Replace enhances statistic,Replace enhances with alternative meaningful metric,Done (code),Aniket,17 Sep (Thu),Friday Fix Boundary,CEO 17 Sep Meeting,Home cards: Time saved / Kindness streak / Items Reloved
CEO-04,P0,Home & Account Metrics,Black interface background,Use black background instead of white for key interface,Done (code),Aniket,17 Sep (Thu),Friday Fix Boundary,CEO 17 Sep Meeting,Account ink backdrop + black manifesto wash
CEO-05,P0,Messaging & Notifications,Remove location/delete from messaging notifications,Notifications must not offer location share or delete actions,Done (verified),Aniket,17 Sep (Thu),Friday Fix Boundary,CEO 17 Sep Meeting,Open + Mark all read only; no location/delete controls existed
CEO-06,P1,Documentation,Final comprehensive project document review,Double-check all project documents after Friday fixes,Partial,Aniket,17 Sep (Thu),Friday Fix Boundary,CEO 17 Sep Meeting,Borzo setup + FAQ/Give copy updated; GST/credentials sheet review still open
QA-01,P0,QA Thursday,Giver E2E journey,Login → Drop → Photos → Preferences → Submit → Match → Accept/Decline → Handover,Not Started,,17 Sep (Thu),QA,Client Plan of Action,Manual Thu checklist — see Docs/F&F_QA_CHECKLIST.md
QA-02,P0,QA Thursday,Claimer E2E journey,Login → Location → Nearby Wall → Claim → Match → Communication → Delivery → Received → Reloved,Not Started,,17 Sep (Thu),QA,Client Plan of Action,Manual Thu checklist
QA-03,P0,QA Thursday,Out-of-zone / location decline case,Verify soft messaging and flow when claim is outside preferred radius,Not Started,,17 Sep (Thu),QA,Client Plan of Action,Manual Thu checklist
QA-04,P0,QA Thursday,Privacy / address visibility check,Confirm broad locality public and exact address only at handover,Not Started,,17 Sep (Thu),QA,Client Plan of Action,Manual Thu checklist
REL-01,P0,Friday Release,Fix remaining P0 bugs,Morning bug bash for any open P0s,Not Started,,18 Sep (Fri),Friday Release,Client Plan of Action,Fri ops
REL-02,P0,Friday Release,Full regression,Mobile + desktop + emails + notifications + status transitions,Not Started,,18 Sep (Fri),Friday Release,Client Plan of Action,Fri ops
REL-03,P0,Friday Release,Prepare test credentials & instructions,Share how-to + credentials for Friends & Family testers,Not Started,,18 Sep (Fri),Friday Release,Client Plan of Action,Fri ops
REL-04,P0,Friday Release,Share build with Friends & Family,Test-ready build in users' hands by Friday afternoon,Not Started,,18 Sep (Fri),Friday Release,Client Plan of Action,Needs frontend hosting redeploy + share link
P2-01,P2,Safe Launch Integrations,Choose ONE courier (Borzo OR Porter — not both),Lock a single courier partner for public launch; remove dual-option complexity,Done (code) early,Aniket,17 Sep (Thu),Phase 2 Safe Launch,CEO + Borzo decision,Porter CTAs removed; Borzo-only path
P2-02,P2,Safe Launch Integrations,Deep-integrate chosen courier only,Full API: estimate book track cancel for that one partner only,Done (code) early,Aniket,17 Sep (Thu),Phase 2 Safe Launch,Borzo work,Admin + donor estimate/book/sync/cancel + webhook
P2-03,P2,Safe Launch Integrations,Auto courier status sync + live tracking,Webhook/auto status + tracking link; no manual Handed Over for courier orders,Done (code) / ops QA,Aniket,17 Sep (Thu),Phase 2 Safe Launch,Borzo work,Webhook + Sync Status advance rider_dispatched→picked_up→delivered
P2-04,P2,Safe Launch Integrations,Prepaid payment lock (no COD),Hard prepaid-only for chosen courier; clear payer before book confirms,Done (code),Aniket,17 Sep (Thu),Phase 2 Safe Launch,Borzo work,payment_method=balance only; UI prepaid/no COD
P2-05,P2,Safe Launch Integrations,Delivery failure / no-show / cancel / return recovery,Product + ops recovery flows for failed deliveries and disputes,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Cancel releases subsidy; full recovery still deferred
P2-06,P2,Safe Launch Integrations,Permanent payer + first-500 subsidy rules,Finalise who pays; subsidy counter with error-margin monitoring,Done (code) early,Aniket,17 Sep (Thu),Phase 2 Safe Launch,CEO + Borzo work,First 500 Reloved-paid; Firestore config/borzoSubsidy; cancel releases slot
P2-07,P2,Safe Launch Integrations,Call masking production hardening,Retries SLAs failed-call handling at public volume,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Not in F&F scope
P2-08,P2,Safe Launch Integrations,Email + SMS notification reliability,Reliable alerts at scale; templates bounce handling,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Not in F&F scope
P2-09,P2,Safe Launch Integrations,Address & thrift/reseller abuse guards,Residential/office-only + abuse detection from F&F learnings,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Not in F&F scope
P2-10,P2,Safe Launch Integrations,Full operations console,QC courier exceptions subsidy counter stuck matches escalation inbox,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Not in F&F scope
P2-11,P2,Safe Launch End Goals,Public launch readiness checklist,Go/no-go gate before opening beyond Friends & Family,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Not in F&F scope
P2-12,P2,Safe Launch End Goals,Cancellation / dispute / recovery policy in product,User-facing cancel/dispute aligned with ops recovery,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Not in F&F scope
P2-13,P2,Safe Launch End Goals,Happy-moment / Wall of Love verification loop,Photo ask + moderation; incentives only after trust loop works,Deferred,,Post F&F,Phase 2 Safe Launch,Safe Launch End Goal,Not in F&F scope
P2-14,P2,Growth After Safe Launch,SEO / content / hashtags / paid keywords,After safe public launch only,Deferred,,Post F&F,Phase 2 Growth,Post Safe Launch,Not in F&F scope
P2-15,P2,Growth After Safe Launch,Advanced analytics & automation,Matching/delivery health dashboards after integrations stable,Deferred,,Post F&F,Phase 2 Growth,Post Safe Launch,Not in F&F scope
P2-16,P2,Growth After Safe Launch,Native mobile app,Web public launch first; native after safe ops proven,Deferred,,Post F&F,Phase 2 Growth,Post Safe Launch,Not in F&F scope
