Bucket,Task ID,Priority,Category,Task,What to do / Notes,Code Status,Evidence / Notes,Target Day,Owner
DONE,DONE-04,—,Claim Lifecycle,Full Claim → Accept/Decline → Handover → Received → Reloved,Already working,DONE,matchFlow.ts handoverStage chain,—,
DONE,DONE-05,—,Claim Lifecycle,Giver Accept / Decline,Already working,DONE,GiveDetail + giver-decision,—,
DONE,DONE-06,—,Claim Lifecycle,Item available after decline,Already working,DONE,matchFlow sets publicStatus available on decline,—,
DONE,DONE-07,—,Messaging,Platform peer chat primary,Already working,DONE,messageThreads peer + DualChatOptions,—,
DONE,DONE-08,—,Messaging,Email fallback for critical events,Already working,DONE,Brevo notifications.ts,—,
DONE,DONE-09,—,Delivery,Direct handover updates status,Already working,DONE,handed-over / received → reloved,—,
DONE,DONE-10,—,Delivery,Giver books courier path,Already working for F&F path; Phase 2 will deep-integrate ONE partner only (Borzo OR Porter),DONE,GiveDetail Borzo book + borzo.ts — dual Porter choice to be removed/locked in Phase 2,—,
DONE,DONE-11,—,Privacy,Exact address only at handover,Already working,DONE,Address after accept + PrivacyBuildingNotice,—,
DONE,DONE-12,—,Privacy,Privacy Policy authenticity / no guarantee,Already working,DONE,StaticPages.tsx + LegalAccept.tsx,—,
DONE,DONE-13,—,Privacy,Minimize public address exposure,Already working,DONE,toPublicArea + building/landmark UX,—,
DONE,DONE-14,—,Listing,Multiple photos per item,Already working,DONE,Give.tsx multiple photos limit 5/12,—,
DONE,DONE-15,—,Listing,Mobile gallery upload input,Already working,DONE,accept image/* capture environment multiple,—,
DONE,DONE-16,—,Admin,Admin approve/reject flow,Already working,DONE,AdminDonations + sendDonationDecision,—,
DONE,DONE-17,—,Admin,Admin Reloved branding,Already working,DONE,AdminLayout Reloved badge + tokens,—,
DONE,DONE-18,—,Call Masking,Masked call E2E,Already working,DONE,callMasking.ts + BUG-07 STATUS live E2E passed,—,
DONE,DONE-19,—,UX,Logo colours / chat button pink,Already working,DONE,FloatingHelpButton bg-accent-pink,—,
PHASE 2,P2-01,P2,Safe Launch Integrations,Choose ONE courier partner (Borzo OR Porter — not both),"Decide and lock a single courier for public launch. Remove dual Borzo+Porter choice from product so ops/support stay simple and safe.",DEFERRED,F&F may keep simple prepaid path; Phase 2 standardises on exactly one partner,Post F&F,
PHASE 2,P2-02,P2,Safe Launch Integrations,Deep-integrate the chosen courier only,"Full API integration for the selected partner only: create order estimate book track cancel. Do not maintain two parallel courier stacks.",DEFERRED,Single-vendor integration reduces failure points for safe launch,Post F&F,
PHASE 2,P2-03,P2,Safe Launch Integrations,Automatic courier status sync + live tracking,"Webhook/polling so booked → picked up → in transit → delivered auto-updates claim status. Giver no longer must tap Handed Over for courier orders. Claimer gets live tracking link.",DEFERRED,End goal: Swiggy-like automated delivery updates,Post F&F,
PHASE 2,P2-04,P2,Safe Launch Integrations,Prepaid payment lock for courier (no COD),"Hard-enforce prepaid only for the chosen courier. No COD. Clear who pays (giver/claimer/Reloved subsidy) before booking confirms.",DEFERRED,Safe launch payment rule — no cash-on-delivery edge cases,Post F&F,
PHASE 2,P2-05,P2,Safe Launch Integrations,Delivery failure / no-show / cancel / return recovery,"End-to-end playbook + product flow for failed delivery no-show cancel return reschedule. Ops can recover parcels safely without WhatsApp chaos.",DEFERRED,Required before wide public launch,Post F&F,
PHASE 2,P2-06,P2,Safe Launch Integrations,Permanent delivery payer + first-500 subsidy rules,"Finalise who pays when; implement first-500 (or successor) subsidy counter with error margin monitoring so Reloved does not overpay.",DEFERRED,Observe F&F behaviour first then lock business rules,Post F&F,
PHASE 2,P2-07,P2,Safe Launch Integrations,Call masking production hardening,"Production SLAs retries failed-call handling and support runbook so users never share personal numbers at scale.",DEFERRED,Masking exists for F&F; harden for public volume,Post F&F,
PHASE 2,P2-08,P2,Safe Launch Integrations,Email + SMS notification reliability,"Delivery/match/decline/handover alerts reliable at scale; templates final; bounce/unsubscribe handling.",DEFERRED,F&F uses current Brevo path; harden for public launch,Post F&F,
PHASE 2,P2-09,P2,Safe Launch Integrations,Address & thrift/reseller abuse guards,"Residential/office-only enforcement; block thrift/commercial drop points; basic reseller/abuse detection from F&F learnings.",DEFERRED,Observe F&F abuse then encode safe-launch rules,Post F&F,
PHASE 2,P2-10,P2,Safe Launch Integrations,Full operations console for safe launch,"Ops dashboard: QC queue courier exceptions first-500 counter stuck matches escalation inbox — one place to run public launch safely.",DEFERRED,Beyond current admin screens,Post F&F,
PHASE 2,P2-11,P2,Safe Launch End Goals,Public launch readiness checklist,"Go/no-go: courier E2E green privacy/address safe notifications reliable admin staffing SLA for delivery exceptions.",DEFERRED,Gate for opening beyond Friends & Family,Post F&F,
PHASE 2,P2-12,P2,Safe Launch End Goals,Cancellation / dispute / recovery policy in product,"User-facing cancel/dispute flows aligned with ops recovery so launch is safe under real conflict cases.",DEFERRED,Policy + product after F&F observation,Post F&F,
PHASE 2,P2-13,P2,Safe Launch End Goals,Happy-moment / Wall of Love verification loop,"Post-receive photo ask moderation and Wall of Love publish — optional incentives only after base trust loop works.",DEFERRED,Soft ask optional; incentives later,Post F&F,
PHASE 2,P2-14,P2,Growth After Safe Launch,SEO / content / hashtags / paid keywords,After safe public launch only,DEFERRED,Do not block launch integrations,Post F&F,
PHASE 2,P2-15,P2,Growth After Safe Launch,Advanced analytics & automation,Conversion drop-off delivery success matching health dashboards,DEFERRED,After core integrations stable,Post F&F,
PHASE 2,P2-16,P2,Growth After Safe Launch,Native mobile app,Web public launch first; native after safe ops proven,DEFERRED,—,Post F&F,
